Text,Created At,Favorite Count,Id Str,In Reply To Screen Name,In Reply To Status Id Str,Lang,Retweet Count,Source,Is Retweet
Fewer states sent help to Puerto Rico than to Texas or Florida https://t.co/AyOo516q7i https://t.co/8c06AGOMNy,10/7/2017 1:55,76,9.16E+17,,,en,110,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
This country is most beloved by expats https://t.co/j1s9QBCkR4 https://t.co/EBlRD3HB8g,10/7/2017 2:47,41,9.16E+17,,,en,9,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
This one-man show features harsh lessons about finance and fatherhood https://t.co/dXqBWQiA4q… https://t.co/Jx1is9STaf,10/7/2017 3:04,23,9.17E+17,,,en,14,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Bitcoin’s rise happened in the shadows of finance. Now banks want in https://t.co/vJc371NhXf https://t.co/HJKhJ2aZzw,10/7/2017 3:10,79,9.17E+17,,,en,64,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
These knitting machines can produce anything from Prada sweaters to car parts https://t.co/2WQrAdG7Jt https://t.co/v0tMNN1QQI,10/7/2017 3:50,37,9.17E+17,,,en,21,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Why investors poured $110 million into a sock maker https://t.co/ruh3eBKXlu https://t.co/bT4AlZYUjq,10/7/2017 4:01,24,9.17E+17,,,en,19,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Inside Apple and Qualcomm’s billion-dollar war over an $18 part https://t.co/nN9pk7cAcX https://t.co/EtqjZV7yhr,10/7/2017 4:05,32,9.17E+17,,,en,16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
This Swedish designer is quietly remaking the shirts you wear to work https://t.co/LJiGTLCj2c https://t.co/DJWuIefAvU,10/7/2017 4:09,54,9.17E+17,,,en,12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Here's why the economy grows but your paycheck doesn’t https://t.co/AlvAaGZou9 https://t.co/2OlApw97Kh,10/7/2017 4:13,67,9.17E+17,,,en,69,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Argentina’s finance minister wants to sell you on his country's recovery https://t.co/rWoVCPxLzH https://t.co/uZjmSdVkpT,10/7/2017 4:17,24,9.17E+17,,,en,11,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
A Turkish media boss trades news for tech https://t.co/McIiE9JKx7 https://t.co/c8uEukFpbo,10/7/2017 4:20,19,9.17E+17,,,en,12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
The lawyer who beat Big Tobacco takes on the opioid industry https://t.co/VEf1TVsC38 https://t.co/7ri4mCWzwG,10/7/2017 4:24,94,9.17E+17,,,en,47,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
This army of women is battling India's $10 billion power problem https://t.co/Qtmvzu5xmd https://t.co/hoJ2MHAted,10/7/2017 4:28,19,9.17E+17,,,en,16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
These are the banks benefiting from the Nordic IPO boom https://t.co/st0tO9u5Hi https://t.co/1kYqlpj8pn,10/7/2017 5:00,14,9.17E+17,,,en,5,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
